id;personnage;acteur;episode;group;date_naissance_acteur;nom_personnage;prenom_personnage;nom_acteur;prenom_acteur;date_naissance_personnage
23;Stephanie Schiffer;Chrissie Hynde;['206'];Celebrite;07/09/1951;Schiffer;Stephanie;Hynde;Chrissie;
24;Dr Rosen;Noah Wyle;['117'];Celebrite;04/06/1971;Rosen;Dr;Wyle;Noah;
25;Erica Ford;Brooke Shield;['212'];Celebrite;31/05/1965;Ford;Erica;Shield;Brooke;
26;Dr Mitchell;George Clooney;['117'];Celebrite;06/05/1961;Mitchell;Dr;Clooney;George;
27;Rob Donan;Chris Isaak;['212'];Celebrite;26/06/1956;Donan;Rob;Isaak;Chris;
28;Cassie;Denise Richards;['719'];Celebrite;17/02/1971;Cassie;Rob;Richards;Denise;
29;Jill Goodacre;Jill Connick;['107'];Celebrite;29/03/1964;Goodacre;Jill;Connick;Jill;
30;Cecilia Monroe;Suzan Sarandon;['715'];Celebrite;04/10/1946;Monroe;Cecilia;Sarandon;Suzan;
31;Tommy;Ben Stiller;['322'];Celebrite;30/11/1965;Tommy;Cecilia;Stiller;Ben;
32;Mackenzie;Dakota Fanning;['1014'];Celebrite;23/02/1994;Mackenzie;Cecilia;Fanning;Dakota;
33;Leonard Haze;Jeff Goldblum;['915'];Celebrite;22/10/1952;Haze;Leonard;Goldblum;Jeff;
34;Malcolm;David Arquette;['303'];Celebrite;08/09/1971;Malcolm;Leonard;Arquette;David;
35;Sandy;Freddie Prinze Jr.;['906'];Celebrite;08/03/1976;Sandy;Leonard;Jr.;Freddie Prinze;
36;Caroline Duffy;Lea Thompson;['206'];Celebrite;31/05/1961;Duffy;Caroline;Thompson;Lea;
37;Ryan;Charlie Sheen;['223'];Celebrite;03/09/1965;Ryan;Caroline;Sheen;Charlie;
38;Jamie Buchman;Helen Hunt;['116'];Celebrite;15/06/1963;Buchman;Jamie;Hunt;Helen;
39;Earl;Jason Alexander;['713'];Celebrite;23/09/1959;Earl;Jamie;Alexander;Jason;
40;Charlton Heston;Charlton Heston;['414'];Celebrite;04/10/1923;Heston;Charlton;Heston;Charlton;
41;Thomas;Robin Williams;['324'];Celebrite;21/07/1951;Thomas;Charlton;Williams;Robin;
42;Turdie Styler;Turdie Styler;['810'];Celebrite;06/01/1954;Styler;Turdie;Styler;Turdie;
43;Isabella Rossellini;Isabella Rossellini;['305'];Celebrite;18/06/1952;Rossellini;Isabella;Rossellini;Isabella;
44;Sarah Ferguson;Sarah Ferguson;['423'];Celebrite;15/10/1959;Ferguson;Sarah;Ferguson;Sarah;
45;Jay Leno;Jay Leno;['111'];Celebrite;28/04/1950;Leno;Jay;Leno;Jay;
46;Vendeur de souvenirs;Richard Branson;['423'];Celebrite;18/07/1950;souvenirs;Vendeur de;Branson;Richard;
47;Ralph Lauren;Ralph Lauren;['608'];Celebrite;14/10/1939;Lauren;Ralph;Lauren;Ralph;
48;Gary Collins;Gary Collins;['504'];Celebrite;30/04/1938;Collins;Gary;Collins;Gary;
49;Roy;Danny DeVito;['1011'];Celebrite;17/11/1944;Roy;Gary;DeVito;Danny;
50;Tim;Billy Crystal;['324'];Celebrite;14/03/1948;Tim;Gary;Crystal;Billy;
51;Gunther;James Michael Tyler;['209', '219', '221', '222', '307', '308', '310', '311', '312', '313', '314', '316', '318', '319', '321', '322', '405', '406', '408', '409', '410', '416', '419', '420', '422', '502', '506', '507', '521', '603', '605', '612', '613', '614', '617', '622', '623', '710', '720', '723', '802', '806', '807', '815', '816', '819', '902', '904', '911', '915', '918', '920', '1012', '1014', '1017'];Incontournable;28/05/1962;Gunther;Gary;Tyler;James Michael;
52;Emma Geller;non créditée;['824', '901', '902', '905', '906', '907', '911', '912', '914', '917', '923', '1001', '1004', '1005', '1006', '1007', '1008', '1009', '1010', '1013', '1015'];Incontournable;;Geller;Emma;créditée;non;
53;Jack Geller;Elliott Gould;['102', '108', '117', '214', '216', '301', '424', '501', '508', '609', '702', '703', '713', '714', '723', '724', '801', '818', '901', '1004'];Incontournable;29/08/1938;Geller;Jack;Gould;Elliott;
54;Judy Geller;Christina Pickles;['102', '108', '214', '216', '301', '403', '424', '501', '508', '609', '702', '714', '723', '724', '801', '818', '823', '905', '1004'];Incontournable;17/02/1935;Geller;Judy;Pickles;Christina;
55;Janice Littman Guralnick;Maggie Wheeler;['105', '110', '114', '203', '224', '301', '303', '304', '306', '307', '308', '415', '512', '707', '823', '824', '921', '1015'];Incontournable;17/07/1961;Guralnick;Janice Littman;Wheeler;Maggie;
56;Mike Hanigan;Paul Rudd;['903', '904', '906', '907', '909', '912', '913', '916', '917', '923', '924', '1001', '1005', '1007', '1012', '1014', '1017'];Incontournable;06/04/1969;Hanigan;Mike;Rudd;Paul;
57;Ben Geller;Cole Mitchell Sprouse;['123', '202', '206', '220', '304', '308', '405', '418', '511', '518', '615', '709', '710', '716', '810', '812'];Incontournable;04/08/1992;Geller;Ben;Sprouse;Cole Mitchell;
58;Carol Willick;Jane Sibbett;['109', '112', '114', '116', '123', '202', '211', '220', '304', '317', '418', '518', '615', '616', '716'];Incontournable;28/11/1962;Willick;Carol;Sibbett;Jane;
59;Emily Waltham;Helen Baxendale;['414', '415', '416', '417', '418', '419', '421', '423', '424', '501', '504', '506', '520'];Incontournable;07/06/1970;Waltham;Emily;Baxendale;Helen;
60;Susan Bunch;Jessica Hecht;['102', '109', '112', '114', '116', '123', '202', '211', '220', '304', '418', '616'];Incontournable;28/06/1965;Bunch;Susan;Hecht;Jessica;
61;Dick;non crédité;['321', '322', '323', '402', '414', '422', '503', '508', '512', '519', '620'];Incontournable;;Dick;Susan;crédité;non;
62;Estelle Leonard;June Gable;['123', '210', '219', '322', '510', '604', '621', '719', '822', '1004'];Incontournable;05/06/1945;Leonard;Estelle;Gable;June;
63;Marcel;Singe;['110', '115', '116', '117', '118', '119', '121', '212', '213'];Incontournable;;Marcel;Estelle;Singe;June;
64;Frank Jr Buffay;Giovanni Ribisi;['206', '221', '305', '318', '411', '412', '417', '503', '1002'];Incontournable;17/12/1974;Buffay;Frank Jr;Ribisi;Giovanni;
65;Professeur Charlie Wheeler;Aisha Tyler;['920', '921', '922', '923', '924', '1001', '1002', '1005', '1006'];Incontournable;18/09/1970;Wheeler;Professeur Charlie;Tyler;Aisha;
66;Yasmine;non crédité;['321', '323', '402', '408', '414', '503', '511', '512', '620'];Incontournable;;Yasmine;Professeur Charlie;crédité;non;
67;Ursula Buffay;Lisa Kudrow;['116', '117', '303', '401', '513', '614', '714', '806'];Incontournable;30/07/1963;Buffay;Ursula;Kudrow;Lisa;
68;Tag Jones;Eddie Cahill;['704', '705', '708', '709', '712', '714', '802'];Incontournable;15/01/1978;Jones;Tag;Cahill;Eddie;
69;Mona;Bonnie Somerville;['801', '805', '806', '808', '811', '815', '817'];Incontournable;24/02/1974;Mona;Tag;Somerville;Bonnie;
70;Julie;Lauren Tom;['124', '201', '202', '204', '207', '208', '210'];Incontournable;04/08/1961;Julie;Tag;Tom;Lauren;
71;Kathy;Paget Brewster;['405', '406', '407', '408', '411', '413'];Incontournable;10/03/1969;Kathy;Tag;Brewster;Paget;
72;Pete Becker;Jon Favreau;['318', '319', '321', '322', '323', '324'];Incontournable;19/10/1966;Becker;Pete;Favreau;Jon;
73;Alice Knight ep. Buffay;Debra Jo Rupp;['318', '411', '412', '417', '418', '503'];Incontournable;24/02/1951;Buffay;Alice Knight ep.;Rupp;Debra Jo;
74;Mark;Steven Eckholdt;['311', '312', '314', '315', '319', '1014'];Incontournable;06/09/1961;Mark;Alice Knight ep.;Eckholdt;Steven;
75;David;Hank Azaria;['110', '711', '906', '922', '923'];Incontournable;25/04/1964;David;Alice Knight ep.;Azaria;Hank;
76;Elizabeth Stevens;Alexandra Holden;['618', '619', '621', '622', '624'];Incontournable;30/04/1977;Stevens;Elizabeth;Holden;Alexandra;
77;Barry Farber;Mitchell Whitfield;['102', '119', '120', '224', '616'];Incontournable;08/09/1964;Farber;Barry;Whitfield;Mitchell;
78;Joshua Bergen;Tate Donovan;['413', '414', '416', '418', '420'];Incontournable;25/09/1963;Bergen;Joshua;Donovan;Tate;
79;Mr Heckles;Larry Hankin;['107', '116', '119', '203', '306'];Incontournable;31/08/1940;Heckles;Mr;Hankin;Larry;
80;Mr Treeger;Michael G. Hagerty;['203', '209', '404', '417', '803'];Incontournable;10/05/1954;Treeger;Mr;Hagerty;Michael G.;
81;Paolo;Cosimo Fusco;['107', '111', '112', '201'];Incontournable;23/09/1962;Paolo;Mr;Fusco;Cosimo;
82;Erica;Anna Faris;['1009', '1013', '1016', '1017'];Incontournable;29/11/1976;Erica;Mr;Faris;Anna;
83;Mr Zelner;Steve Ireland;['517', '709', '817', '911', '1014', '1015'];Recurrent;;Zelner;Mr;Ireland;Steve;
84;Dr Long;Amanda Carlin;['803', '813', '814', '822', '823', '824'];Recurrent;;Long;Dr;Carlin;Amanda;
85;Gary;Michael Rapaport;['516', '517', '520', '521'];Recurrent;20/03/1970;Gary;Dr;Rapaport;Michael;
86;Dr Leonard Green;Ron Leibman;['222', '307', '808', '1013'];Recurrent;11/10/1937;Green;Dr Leonard;Leibman;Ron;
87;Jasmine;Cynthia Mann;['101', '112', '305', '316'];Recurrent;;Jasmine;Dr Leonard;Mann;Cynthia;
88;Sophie;Laura Dean;['315', '320', '403', '409'];Recurrent;27/05/1963;Sophie;Dr Leonard;Dean;Laura;
89;Phoebe Abbott;Teri Garr;['325', '401', '411'];Recurrent;11/12/1944;Abbott;Phoebe;Garr;Teri;
90;Joanna;Alison LaPlaca;['320', '403', '409'];Recurrent;16/12/1959;Joanna;Phoebe;LaPlaca;Alison;
91;Eddie Minowick;Adam Goldberg;['217', '218', '219'];Recurrent;25/10/1970;Minowick;Eddie;Goldberg;Adam;
92;Bonnie;Christine Taylor;['324', '325', '401'];Recurrent;30/07/1971;Bonnie;Eddie;Taylor;Christine;
93;Kate Miller;Dina Meyer;['319', '320', '322'];Recurrent;22/12/1968;Miller;Kate;Meyer;Dina;
94;Sandra Green;Marlo Thomas;['211', '222', '820'];Recurrent;21/11/1937;Green;Sandra;Thomas;Marlo;
95;Danny, le yeti;George Newbern;['506', '507', '510'];Recurrent;30/12/1964;yeti;Danny, le;Newbern;George;
96;Doug;Sam McMurray;['324', '512', '811'];Recurrent;15/04/1952;Doug;Danny, le;McMurray;Sam;
97;Marshall Talmant;Reg Rogers;['319', '320', '322'];Recurrent;23/12/1964;Talmant;Marshall;Rogers;Reg;
98;Steve;Phill  Lewis;['911', '915', '918'];Recurrent;04/09/1968;Steve;Marshall;Lewis;Phill ;
99;Bob le marrant;Vincent Ventresca;['110', '210'];Recurrent;29/04/1966;marrant;Bob le;Ventresca;Vincent;
100;Chloe;Angela Featherstone;['315', '316'];Recurrent;03/04/1965;Chloe;Bob le;Featherstone;Angela;
101;Dr Horton;Roark Critchlow;['212', '218'];Recurrent;11/05/1963;Horton;Dr;Critchlow;Roark;
102;Stu;Fred Stoller;['410', '808'];Recurrent;19/03/1958;Stu;Dr;Stoller;Fred;
103;Lauren;Jennifer Milmore;['320', '322'];Recurrent;;Lauren;Dr;Milmore;Jennifer;
104;Mrs Hanigan;Christine Rose;['907', '1012'];Recurrent;31/01/1951;Hanigan;Mrs;Rose;Christine;
105;Trent;Jeffrey D. Brooks;['318', '322'];Recurrent;;Trent;Mrs;Brooks;Jeffrey D.;
106;Mr Hanigan;Gregory Itzin;['907', '1012'];Recurrent;20/04/1948;Hanigan;Mr;Itzin;Gregory;
107;Kim Clozzi;Joanna Gleason;['518', '608'];Recurrent;02/06/1950;Clozzi;Kim;Gleason;Joanna;
108;Kiki;Michele Maika;['104', '306'];Recurrent;;Kiki;Kim;Maika;Michele;
109;Serveur gay au restaurant;Sam Pancake;['816', '914'];Recurrent;10/05/1964;restaurant;Serveur gay au;Pancake;Sam;
110;Dr Ledbetter;Michael Ensign;['509', '514'];Recurrent;13/02/1944;Ledbetter;Dr;Ensign;Michael;
111;Mr Douglas;Dorien Wilson;['116', '223'];Recurrent;05/07/1963;Douglas;Mr;Wilson;Dorien;
112;Mlle Tedlock;Fritzi Burr;['115', '224'];Recurrent;31/05/1924;Tedlock;Mlle;Burr;Fritzi;
113;Robbie;Christopher Miranda;['102', '120'];Recurrent;;Robbie;Mlle;Miranda;Christopher;
114;Jake;Troy Norton;['718', '722'];Recurrent;;Jake;Mlle;Norton;Troy;
115;Claudia;Monique Edwards;['905', '910'];Recurrent;;Claudia;Mlle;Edwards;Monique;
116;Ken;Brian Chenoweth;['905', '910'];Recurrent;;Ken;Mlle;Chenoweth;Brian;
117;Mr Waltham;Paxton Whitehead;['413', '414'];Recurrent;17/10/1937;Waltham;Mr;Whitehead;Paxton;
118;Infirmière à l’hôpital;Evie Peck;['803', '811'];Recurrent;;l’hôpital;Infirmière à;Peck;Evie;
119;Gavin Mitchell;Dermot Mulroney;['911', '912', '913'];Notoire;31/10/1963;Mitchell;Gavin;Mulroney;Dermot;
120;Steven Waltham;Tom Conti;['424', '501'];Notoire;22/11/1941;Waltham;Steven;Conti;Tom;
121;Molly;Melissa George;['912', '913'];Notoire;06/08/1976;Molly;Steven;George;Melissa;
122;Terry;Max Wright;['109', '206'];Notoire;02/08/1943;Terry;Steven;Wright;Max;
123;Russel;Ron Glass;['602', '604'];Notoire;10/07/1945;Russel;Steven;Glass;Ron;
124;Mr Kaplan Jr;Shelley Berman;['310', '311'];Notoire;03/02/1925;Jr;Mr Kaplan;Berman;Shelley;
125;Frank Sr Buffay;Bob Balaban;['513'];Notoire;16/08/1945;Buffay;Frank Sr;Balaban;Bob;
126;Russ;Snaro;['210'];Notoire;02/11/1966;Russ;Frank Sr;Snaro;Bob;
127;Mindy Hunter;Jennifer Grey;['120'];Notoire;26/03/1960;Hunter;Mindy;Grey;Jennifer;
128;Carol Willick;Anita Barone;['102'];Notoire;25/09/1964;Willick;Carol;Barone;Anita;
129;Tim Burke;Michael Vartan;['408'];Notoire;27/11/1968;Burke;Tim;Vartan;Michael;
130;Felicity;Olivia Williams;['424'];Notoire;26/07/1968;Felicity;Tim;Williams;Olivia;
131;Duncan;Steve Zahn;['204'];Notoire;13/11/1967;Duncan;Tim;Zahn;Steve;
132;Ginger;Sherilyn Fenn;['314'];Notoire;01/02/1965;Ginger;Tim;Fenn;Sherilyn;
133;Katie;Soleil Moon Frye;['515'];Notoire;06/08/1976;Katie;Tim;Frye;Soleil Moon;
134;Kristen Leigh;Gabrielle Union;['717'];Notoire;29/10/1972;Leigh;Kristen;Union;Gabrielle;
135;Erin;Kristin Davis;['707'];Notoire;23/02/1965;Erin;Kristen;Davis;Kristin;
136;Dr Benjamin Hobart;Greg Kinnear;['1006'];Notoire;17/06/1963;Hobart;Dr Benjamin;Kinnear;Greg;
137;Cheryl;Rebecca Romijn;['406'];Notoire;06/11/1972;Cheryl;Dr Benjamin;Romijn;Rebecca;
138;Dr Franzblau;Jonathan Silverman;['123'];Notoire;05/08/1966;Franzblau;Dr;Silverman;Jonathan;
139;Gardien du zoo de San Diego;Dan Castellaneta;['212'];Notoire;29/10/1957;Diego;Gardien du zoo de San;Castellaneta;Dan;
140;Mme Bergen;Pat Crowley;['418'];Notoire;17/09/1933;Bergen;Mme;Crowley;Pat;
141;Iris;Beverly Garland;['118'];Notoire;17/10/1926;Iris;Mme;Garland;Beverly;
142;James Campbell;Brent Spiner;['1014'];Notoire;02/02/1949;Campbell;James;Spiner;Brent;
143;Wendy;Selma Blair;['910'];Notoire;23/06/1972;Wendy;James;Blair;Selma;
144;Amanda;Jennifer Coolidge;['1003'];Notoire;28/08/1961;Amanda;James;Coolidge;Jennifer;
145;Fran Devanow;Leila Kenzle;['116'];Notoire;;Devanow;Fran;Kenzle;Leila;
146;Gloria Tribbiani;Brenda Vaccaro;['113'];Notoire;18/11/1939;Tribbiani;Gloria;Vaccaro;Brenda;
147;Démarcheur d’encyclopédies;Penn Jilette;['403'];Notoire;05/03/1955;d’encyclopédies;Démarcheur;Jilette;Penn;
148;Mme Buffay;Laraine Newman;['221'];Notoire;02/03/1952;Buffay;Mme;Newman;Laraine;
149;Zack;John Stamos;['922'];Notoire;19/08/1963;Zack;Mme;Stamos;John;
150;Donny Osmond;Donny Osmond;['1011'];Notoire;09/12/1957;Osmond;Donny;Osmond;Donny;
151;Dr Baldhadar;Harry Shearer;['121'];Notoire;23/12/1943;Baldhadar;Dr;Shearer;Harry;
152;Leslie Charleston;Leslie Charleston;['1011'];Notoire;22/02/1945;Charleston;Leslie;Charleston;Leslie;
153;Emile Alexander;Steven Harad;['307', '313', '624'];Proche;;Alexander;Emile;Harad;Steven;
154;Réalisateur du film;Mark Roberts;['723', '724'];Proche;09/06/1921;film;Réalisateur du;Roberts;Mark;
155;Assistant du réalisateur sur le plateau;Peter James Smith;['723', '724'];Proche;22/08/1948;plateau;Assistant du réalisateur sur le;Smith;Peter James;
156;Clifford Burnett;Eddie McClintock;['823', '824'];Proche;27/05/1967;Burnett;Clifford;McClintock;Eddie;
157;Serveuse et figurante dans la sérieDays of our lives.;Alexandra Margulies;['624', '911'];Proche;;lives.;Serveuse et figurante dans la sérieDays of our;Margulies;Alexandra;
158;Dr Roger;Pat Finn;['615', '616'];Proche;31/07/1965;Roger;Dr;Finn;Pat;
159;Courtière;Lisa Calderon;['616', '820'];Proche;25/01/1965;Courtière;Dr;Calderon;Lisa;
160;Erica Jr Bing;non créditée;['1017', '1018'];Proche;;Bing;Erica Jr;créditée;non;
161;Jack Jr Bing;non crédité;['1017', '1018'];Proche;;Bing;Jack Jr;crédité;non;
162;Mr Simon et Al Zebooker;E. J. Callahan;['404', '1015'];Proche;23/12/1953;Zebooker;Mr Simon et Al;Callahan;E. J.;
163;Lowell;Kyle Gass;['915'];Proche;14/07/1960;Lowell;Mr Simon et Al;Gass;Kyle;
164;Paul, le sommelier;John Allen Nelson;['101'];Proche;28/08/1959;sommelier;Paul, le;Nelson;John Allen;
165;Roy Gublik;Michael Ray Bower;['214'];Proche;;Gublik;Roy;Bower;Michael Ray;
166;Aurora;Sofia Milos;['106'];Proche;27/09/1969;Aurora;Roy;Milos;Sofia;
167;Dina Tribbiani;Marla Sokoloff;['810'];Proche;19/12/1980;Tribbiani;Dina;Sokoloff;Marla;
168;Whitney;Julia Campbell;['705'];Proche;12/03/1963;Whitney;Dina;Campbell;Julia;
169;Fredrick;George Stults;['715'];Proche;16/08/1975;Fredrick;Dina;Stults;George;
170;Katie;Rena Sofer;['821'];Proche;02/12/1968;Katie;Dina;Sofer;Rena;
171;Mindy Hunter-Farber;Marie Hupp;['224'];Proche;02/04/1964;Hunter-Farber;Mindy;Hupp;Marie;
172;Kyle;David Sutcliffe;['705'];Proche;08/06/1969;Kyle;Mindy;Sutcliffe;David;
173;Missy Goldberg;Ellen Pompeo;['1011'];Proche;10/11/1969;Goldberg;Missy;Pompeo;Ellen;
174;Franny;Clea Lewis;['101'];Proche;19/07/1965;Franny;Missy;Lewis;Clea;
175;Arthur;Larry Cox;['616'];Proche;08/08/1947;Arthur;Missy;Cox;Larry;
176;Josh;Brian Fish Smith;['405'];Proche;12/10/1981;Josh;Missy;Smith;Brian Fish;
177;Jack;Paul Gleason;['616'];Proche;04/05/1939;Jack;Missy;Gleason;Paul;
178;Amanda;Laura Stepp;['405'];Proche;;Amanda;Missy;Stepp;Laura;
179;Nina Bookbinder;Jennifer Grant;['116'];Proche;26/02/1966;Bookbinder;Nina;Grant;Jennifer;
180;Strip-teaseuse;Lisa Rotondi;['422'];Proche;;Strip-teaseuse;Nina;Rotondi;Lisa;
181;Marjorie;Christina Moore;['420'];Proche;12/04/1973;Marjorie;Nina;Moore;Christina;
182;Gina Tribbiani;K. J. Steinberg;['311'];Proche;03/06/2013;Tribbiani;Gina;Steinberg;K. J.;
183;Cailin;Laura Cayouette;['322'];Proche;11/07/1964;Cailin;Gina;Cayouette;Laura;
184;Dina Tribbiani;Lisa Melili;['311'];Proche;;Tribbiani;Dina;Melili;Lisa;
185;Colocataire d’Hayley;Nikita Ager;['904'];Proche;;d’Hayley;Colocataire;Ager;Nikita;
186;Leslie;E. G. Daily;['314'];Proche;11/09/1961;Leslie;Colocataire;Daily;E. G.;
187;Angela;Kim Gillingham;['105'];Proche;;Angela;Colocataire;Gillingham;Kim;
188;Annabel;Emily Procter;['202'];Proche;08/10/1968;Annabel;Colocataire;Procter;Emily;
189;Hayley;Susan Ward;['904'];Proche;15/04/1976;Hayley;Colocataire;Ward;Susan;
190;Melissa;Caroline Keenan;['705'];Proche;;Melissa;Colocataire;Keenan;Caroline;
191;Elizabeth Hornswaggle;Sara Rose Peterson;['511'];Proche;;Hornswaggle;Elizabeth;Peterson;Sara Rose;
192;Sandy;Sarah McDonnel;['110'];Proche;;Sandy;Elizabeth;McDonnel;Sarah;
193;Sergeï;Jim Pirri;['315'];Proche;;Sergeï;Elizabeth;Pirri;Jim;
194;Don;Harry Van Gorkum;['816'];Proche;;Don;Elizabeth;Gorkum;Harry Van;
195;Julio;Carlos Gomez;['312'];Proche;01/01/1962;Julio;Elizabeth;Gomez;Carlos;
196;Stuart;Joe Coyle;['711'];Proche;28/11/1988;Stuart;Elizabeth;Coyle;Joe;
197;Cookie Tribbiani;Alex Meneses;['311'];Proche;12/02/1965;Tribbiani;Cookie;Meneses;Alex;
198;Alex;Ian Meltzer;['604'];Proche;;Alex;Cookie;Meltzer;Ian;
199;Frances;Audra Lindley;['209'];Proche;24/09/1918;Frances;Cookie;Lindley;Audra;
200;Robert;Markus Flanagan;['313'];Proche;20/08/1964;Robert;Cookie;Flanagan;Markus;
201;Kristen;Heather Medway;['114'];Proche;05/06/1972;Kristen;Cookie;Medway;Heather;
202;Jason;Robert Gant;['323'];Proche;13/07/1968;Jason;Cookie;Gant;Robert;
203;Kurt Rathman;Rick Fitts;['604'];Proche;;Rathman;Kurt;Fitts;Rick;
204;Wayne;Andrew Bilgore;['621'];Proche;;Wayne;Kurt;Bilgore;Andrew;
205;Femme de Poughkeepsie;Yasemin Baytok;['410'];Proche;;Poughkeepsie;Femme de;Baytok;Yasemin;
206;Producteur de séries télévisées;Brad Koepenick;['621'];Proche;;télévisées;Producteur de séries;Koepenick;Brad;
207;Vince;Matt Battaglia;['323'];Proche;25/09/1965;Vince;Producteur de séries;Battaglia;Matt;
208;Réalisateur de Days Of Our Lives;Evan Handler;['911'];Proche;10/01/1961;Lives;Réalisateur de Days Of Our;Handler;Evan;
209;Michael;Arye Gross;['207'];Proche;17/03/1960;Michael;Réalisateur de Days Of Our;Gross;Arye;
210;Michelle;Jennifer Aspen;['913'];Proche;09/10/1973;Michelle;Réalisateur de Days Of Our;Aspen;Jennifer;
211;Jim Nelson;James Le Gros;['817'];Proche;27/04/1962;Nelson;Jim;Gros;James Le;
212;Kash Ford;Johnny Messner;['805'];Proche;11/04/1970;Ford;Kash;Messner;Johnny;
213;Shelley;Sasha Alexander;['819'];Proche;17/05/1973;Shelley;Kash;Alexander;Sasha;
214;Cynthia;Jennette Robbins;['509'];Proche;;Cynthia;Kash;Robbins;Jennette;
215;Comptable de Monica;Cindy Lu;['719'];Proche;26/07/1993;Monica;Comptable de;Lu;Cindy;
216;Chandler enfant;Joshua Preston;['508'];Proche;;enfant;Chandler;Preston;Joshua;
217;Dirk;Ethan Erickson;['920'];Proche;05/08/1973;Dirk;Chandler;Erickson;Ethan;
218;Kyle Lowder;Kyle Lowder;['920'];Proche;27/08/1980;Lowder;Kyle;Lowder;Kyle;
219;Mabel;Krista Allen;['812'];Proche;05/04/1971;Mabel;Kyle;Allen;Krista;
220;Acteur dans Days Of Our Lives;Paul Logan;['911'];Proche;15/10/1973;Lives;Acteur dans Days Of Our;Logan;Paul;
221;Julie Graff;Stacy Galina;['706'];Proche;24/09/1966;Graff;Julie;Galina;Stacy;
222;Chip Matthews;Dan Gauthier;['402'];Proche;02/12/1963;Matthews;Chip;Gauthier;Dan;
223;Striker Ramorey;Eric Rutherford;['704'];Proche;;Ramorey;Striker;Rutherford;Eric;
224;Matthew Ashford;Matthew Ashford;['920'];Proche;29/01/1960;Ashford;Matthew;Ashford;Matthew;
225;Roger;Fisher Stevens;['113'];Proche;27/11/1963;Roger;Matthew;Stevens;Fisher;
226;Betsy;Marissa Ribisi;['306'];Proche;17/12/1974;Betsy;Matthew;Ribisi;Marissa;
227;Bob;Warren Berliner;['216'];Proche;31/08/1937;Bob;Matthew;Berliner;Warren;
228;Employé de cuisine;Amy Smallman;['410'];Proche;;cuisine;Employé de;Smallman;Amy;
229;El Hombre;Joel beeson;['202'];Proche;;Hombre;El;beeson;Joel;
230;Actrice dans Days of our Lives;Karma Kruschke;['212'];Proche;05/01/1986;Lives;Actrice dans Days of our;Kruschke;Karma;
231;Professeur Spafford;Ken Lerner;['920'];Proche;27/05/1948;Spafford;Professeur;Lerner;Ken;
