ID_ep;ID_personnage;ID_personnage_1;ID_relation
403;90;1;5
409;90;1;5
217;91;5;3
218;91;5;3
219;91;5;3
324;92;6;1
325;92;6;1
401;92;6;1
319;93;4;1
320;93;4;1
322;93;4;1
211;94;1;2
222;94;1;2
820;94;1;2
506;95;1;1
507;95;1;1
510;95;1;1
911;98;5;5
915;98;5;5
918;98;5;5
110;99;2;1
210;99;2;1
315;100;6;1
316;100;6;1
410;102;2;5
808;102;2;5
320;103;4;1
322;103;4;1
518;107;1;5
608;107;1;5
104;108;1;3
306;108;1;3
509;110;6;5
514;110;6;5
116;111;5;5
223;111;5;5
115;112;5;5
224;112;5;5
718;114;3;1
722;114;3;1
905;115;5;5
910;115;5;5
905;116;5;5
910;116;5;5
413;117;1;5
414;117;1;5
911;119;1;1
912;119;1;1
913;119;1;1
109;122;1;5
206;122;1;5
310;124;1;5
311;124;1;5
513;125;3;2
210;126;1;1
120;127;1;3
102;128;6;1
408;129;2;1
424;130;4;1
204;131;3;1
314;132;5;1
515;133;4;1
717;134;6;1
707;135;4;1
406;137;6;1
118;141;6;2
118;141;2;2
910;143;5;5
1003;144;2;3
113;146;4;2
922;149;5;5
121;151;6;5
723;154;4;5
724;154;4;5
723;155;4;5
724;155;4;5
823;156;3;1
824;156;3;1
624;157;2;5
911;157;2;5
615;158;2;1
616;158;2;1
616;159;3;5
820;159;3;5
1017;160;5;2
1018;160;5;2
1017;161;5;2
1018;161;5;2
404;162;4;5
1015;162;4;5
915;163;3;3
101;164;2;1
214;165;2;1
106;166;5;1
810;167;4;2
705;168;6;1
715;169;4;5
821;170;6;1
224;171;1;3
705;172;3;1
1011;173;5;1
101;174;2;5
616;175;3;5
405;176;1;1
616;177;3;5
405;178;6;1
116;179;5;1
422;180;4;1
420;181;5;1
311;182;4;2
322;183;6;5
311;184;4;2
904;185;4;1
314;186;3;3
105;187;4;1
202;188;4;1
904;189;4;1
705;190;1;5
511;191;6;1
110;192;4;1
315;193;3;1
816;194;3;1
312;195;2;1
711;196;2;1
311;197;4;2
604;198;4;5
209;199;3;2
313;200;3;1
114;201;6;1
323;202;3;1
604;203;6;5
621;204;4;5
410;205;6;1
621;206;4;5
323;207;3;1
911;208;4;5
207;209;1;1
913;210;6;1
817;211;3;1
805;212;4;5
819;213;4;1
509;214;4;1
719;215;2;5
508;216;5;2
920;217;4;5
920;218;4;5
812;219;4;1
911;220;4;5
706;221;5;1
402;222;4;5
704;223;2;1
920;224;4;5
113;225;3;1
306;226;1;3
216;227;4;5
410;228;2;5
202;229;4;5
212;230;4;5
920;231;6;5
410;232;5;5
805;233;3;1
410;234;5;5
312;235;2;5
124;236;4;1
615;237;4;5
519;238;4;2
502;239;1;1
707;240;6;1
704;241;4;5
704;242;4;5
615;243;4;5
1011;244;6;1
304;245;6;2
304;245;2;2
103;246;2;1
315;247;2;1
915;248;5;5
704;249;1;5
919;250;4;5
113;252;4;2
711;253;6;2
711;253;2;2
115;255;6;1
312;256;1;5
114;257;4;1
122;258;2;1
704;260;3;1
715;262;3;1
311;263;4;2
105;265;2;1
124;266;1;1
103;267;3;3
409;268;1;5
120;269;5;1
108;270;6;2
108;270;2;2
1014;272;1;5
608;274;6;1
311;275;4;2
804;276;6;1
805;278;5;5
711;279;6;2
711;279;2;2
1002;280;3;3
102;281;6;5
205;282;5;1
510;283;3;5
1007;284;4;1
404;285;3;1
818;286;6;2
818;286;2;2
1002;287;3;2
1002;288;3;2
818;289;6;2
818;289;2;2
1002;290;3;2
805;291;5;5
108;292;5;5
311;293;4;2
618;294;5;1
409;295;2;5
409;296;1;5
1002;297;3;3
411;298;6;5
404;299;3;5
223;300;5;5
518;302;1;5
618;303;6;5
104;304;1;3
1009;305;5;5
108;306;4;1
912;307;1;5
903;309;3;3
104;310;1;3
909;311;5;5
619;312;5;5
902;313;5;5
624;314;1;5
103;316;2;5
618;317;6;5
411;318;6;5
121;319;2;3
618;320;6;5
324;321;5;5
324;322;5;5
820;323;1;3
922;324;5;5
921;325;3;5
922;326;6;5
1006;327;6;5
1006;328;6;5
1009;329;6;1
122;330;5;5
713;331;3;5
122;332;5;5
407;333;4;1
709;341;2;4
811;341;2;4
411;343;6;5
619;343;6;5
709;386;2;4
709;396;2;4
911;449;4;5
419;470;4;4
821;511;6;4
517;523;6;4
517;536;6;4
517;598;6;4
807;602;6;4
515;694;6;4
515;696;6;4
515;700;6;4
515;709;6;4
