personnage;acteur;episode;group;birthday
Emile Alexander;Steven Harad;['307', '313', '624'];Proche;
Réalisateur du film;Mark Roberts;['723', '724'];Proche;
Assistant du réalisateur sur le plateau;Peter James Smith;['723', '724'];Proche;
Clifford Burnett;Eddie McClintock;['823', '824'];Proche;27 mai 1967
Serveuse et figurante dans la sérieDays of our lives.;Alexandra Margulies;['624', '911'];Proche;8 juin 1966
Dr Roger;Pat Finn;['615', '616'];Proche;
Courtière;Lisa Calderon;['616', '820'];Proche;
Erica Jr Bing;non créditée;['1017', '1018'];Proche;
Jack Jr Bing;non crédité;['1017', '1018'];Proche;31 mai 1950
Mr Simon et Al Zebooker;E. J. Callahan;['404', '1015'];Proche;
Lowell;Kyle Gass;['915'];Proche;
Paul, le sommelier;John Allen Nelson;['101'];Proche;28 août 1959
Roy Gublik;Michael Ray Bower;['214'];Proche;
Aurora;Sofia Milos;['106'];Proche;27 septembre 1969
Dina Tribbiani;Marla Sokoloff;['810'];Proche;
Whitney;Julia Campbell;['705'];Proche;
Fredrick;George Stults;['715'];Proche;
Katie;Rena Sofer;['821'];Proche;
Mindy Hunter-Farber;Marie Hupp;['224'];Proche;
Kyle;David Sutcliffe;['705'];Proche;
Missy Goldberg;Ellen Pompeo;['1011'];Proche;10 novembre 1969
Franny;Clea Lewis;['101'];Proche;
Arthur;Larry Cox;['616'];Proche;
Josh;Brian Fish Smith;['405'];Proche;
Jack;Paul Gleason;['616'];Proche;4 mai 1939
Amanda;Laura Stepp;['405'];Proche;
Strip-teaseuse;Lisa Rotondi;['422'];Proche;
Marjorie;Christina Moore;['420'];Proche;
Nina Bookbinder;Jennifer Grant;['116'];Proche;
Gina Tribbiani;K. J. Steinberg;['311'];Proche;
Cailin;Laura Cayouette;['322'];Proche;11 juillet 1964
Dina Tribbiani;Lisa Melili;['311'];Proche;
Colocataire d’Hayley;Nikita Ager;['904'];Proche;
Leslie;E. G. Daily;['314'];Proche;
Angela;Kim Gillingham;['105'];Proche;
Hayley;Susan Ward;['904'];Proche;
Annabel;Emily Procter;['202'];Proche;
Melissa;Caroline Keenan;['705'];Proche;
Elizabeth Hornswaggle;Sara Rose Peterson;['511'];Proche;
Sandy;Sarah McDonnel;['110'];Proche;
Sergeï;Jim Pirri;['315'];Proche;
Don;Harry Van Gorkum;['816'];Proche;
Julio;Carlos Gomez;['312'];Proche;
Stuart;Joe Coyle;['711'];Proche;
Cookie Tribbiani;Alex Meneses;['311'];Proche;12 février 1965
Alex;Ian Meltzer;['604'];Proche;
Frances;Audra Lindley;['209'];Proche;24 septembre 1918
Robert;Markus Flanagan;['313'];Proche;
Kristen;Heather Medway;['114'];Proche;
Jason;Robert Gant;['323'];Proche;13 juillet 1968
Kurt Rathman;Rick Fitts;['604'];Proche;
Wayne;Andrew Bilgore;['621'];Proche;
Femme de Poughkeepsie;Yasemin Baytok;['410'];Proche;
Producteur de séries télévisées;Brad Koepenick;['621'];Proche;
Vince;Matt Battaglia;['323'];Proche;
Réalisateur de Days Of Our Lives;Evan Handler;['911'];Proche;
Michael;Arye Gross;['207'];Proche;17 mars 1960
Michelle;Jennifer Aspen;['913'];Proche;9 octobre 1973
Jim Nelson;James Le Gros;['817'];Proche;
Kash Ford;Johnny Messner;['805'];Proche;
Shelley;Sasha Alexander;['819'];Proche;17 mai 1973
Cynthia;Jennette Robbins;['509'];Proche;
Comptable de Monica;Cindy Lu;['719'];Proche;
Chandler enfant;Joshua Preston;['508'];Proche;
Dirk;Ethan Erickson;['920'];Proche;
Kyle Lowder;Kyle Lowder;['920'];Proche;
Mabel;Krista Allen;['812'];Proche;5 avril 1971
Acteur dans Days Of Our Lives;Paul Logan;['911'];Proche;
Chip Matthews;Dan Gauthier;['402'];Proche;
Julie Graff;Stacy Galina;['706'];Proche;
Striker Ramorey;Eric Rutherford;['704'];Proche;
Matthew Ashford;Matthew Ashford;['920'];Proche;
Roger;Fisher Stevens;['113'];Proche;27 novembre 1963
Bob;Warren Berliner;['216'];Proche;31 août 1937
Betsy;Marissa Ribisi;['306'];Proche;
Employé de cuisine;Amy Smallman;['410'];Proche;
El Hombre;Joel beeson;['202'];Proche;
Actrice dans Days of our Lives;Karma Kruschke;['212'];Proche;
Professeur Spafford;Ken Lerner;['920'];Proche;27 mai 1948
Drew;Michael DiMaggio;['410'];Proche;
Tim;Kevin Rahm;['805'];Proche;7 janvier 1971
Mike;Jamie Kaler;['410'];Proche;
Jeannine;Wendy Schall;['312'];Proche;
Melanie;Corinne Bohrer;['124'];Proche;
Hope Brady;Kristian Alfonso;['615'];Proche;5 septembre 1963
Nonnie Tribbiani;Lilyan Chauvin;['519'];Proche;6 août 1925
Dave;Zen Gesner;['502'];Proche;
Infirmière, actrice de Days Of Our Lives;Cynthia Graham;['704'];Proche;
Petite amie scientifique de Ross;Sarah O’Hare;['707'];Proche;
Infirmière, actrice de Days Of Our Lives;Renee Louise Roger;['704'];Proche;
Dr Wesley;Kevin Spirtas;['615'];Proche;
Adrienne Turner;Kimberley Davies;['1011'];Proche;
Alan;Goeffrey Lower;['103'];Proche;
Ross enfant;Edo Azram;['304'];Proche;
Misha;Stephen Kearny;['315'];Proche;30 août 1794
Jordan;Teck Holmes;['915'];Proche;
Kathy;Cody Tucher;['704'];Proche;
Chase Lassiter;Blake Reed;['919'];Proche;
Olivia;Marisol Nichols;['919'];Proche;2 novembre 1973
Joey Tribbiani Sr;Robert Costanzo;['113'];Proche;
Frannie;Robyn Donny;['711'];Proche;
Dina;Eva Amurri;['715'];Proche;15 mars 1985
Celia;Melora Hardin;['115'];Proche;29 juin 1967
Nancy;Hilary Matthews;['312'];Proche;
Lorraine;Nancy Valen;['114'];Proche;
Ethan;Stan Kirsch;['122'];Proche;15 juillet 1968
Terry;Michael Kagan;['704'];Proche;
Larry;Gregory Sporleder;['507'];Proche;14 avril 1964
Infirmière à l’hôpital;Cacey Riggan;['615'];Proche;
Tom;Jack Belts;['715'];Proche;11 avril 1929
Mary-Theresa Tribbiani;Mimi Leiber;['311'];Proche;
Chrissy;Symba Smith;['211'];Proche;
Carl;Tommy Blaise;['124'];Proche;
Bob;Jack Armstrong;['105'];Proche;
Lizzy;Beth Grant;['103'];Proche;18 septembre 1949
Mme Lynch;Jennifer Rhodes;['409'];Proche;
Danielle;Lynn Clark;['120'];Proche;
Lilian;Elinor Donahue;['108'];Proche;19 avril 1937
Jessica Ashley;Alison Sweeney;['718'];Proche;
Employé de Ralph Lauren;Alex Ball;['1014'];Proche;
Vendeuse du parfumObsession;Lara Harris;['109'];Proche;
Hillary;Missy Pyle;['608'];Proche;16 novembre 1972
Nonna;Penny Santon;['311'];Proche;
Kristen;Lisa Thornbill;['804'];Proche;
Monica enfant;Sierra Dawn Hill;['304'];Proche;
Mr Franklin;Geoff Pierson;['805'];Proche;16 juin 1949
Tante Millie;Darlene Kardan;['711'];Proche;
Colleen;Kellie Waymire;['1002'];Proche;
Marsha;Merrill Merkoe;['102'];Proche;
Jade;Britteny Powell;['205'];Proche;4 mars 1972
Bob;Tom Bailey;['510'];Proche;
Laura;Maria Pitillo;['1007'];Proche;8 janvier 1966
Rick;Jason Brooks;['404'];Proche;10 mai 1966
Oncle Dan;John C. Moskoff;['818'];Proche;
Leslie Buffay;Allisyn et Ashley Arm;['1002'];Proche;25 avril 1996
Chandler Buffay;Sierra Marcoux;['1002'];Proche;
Tante Lisa;Ellen Gerstein;['818'];Proche;29 avril 1950
Frank Jr Jr Buffay;Dante Pastula;['1002'];Proche;
Bob;Chris Parnell;['805'];Proche;
Shelley;Nancy Cassaro;['108'];Proche;
Mary-Angela Tribbiani;non créditée;['311'];Proche;
Dana;Bess Meyer;['618'];Proche;
Allessandro;Taylor Negron;['409'];Proche;1er août 1957
Mr Posner;Richard Fancy;['409'];Proche;
Bill;Jim Meskimen;['1002'];Proche;
Andrew;Jack Ong;['411'];Proche;6 novembre 1940
Mrs Potter;Rhoda Gemignani;['404'];Proche;
Scott Alexander;Steve Park;['223'];Proche;
Jeannie;Mary-Pat Green;['223'];Proche;
Nancy;Megan Ward;['518'];Proche;
Burt;Richard Roat;['618'];Proche;
Joanne;Marianne Hagan;['104'];Proche;
Lowell;Stuart Fratkin;['108'];Proche;
Sarah;Anna Parisse;['1009'];Proche;31 juillet 1975
Heather;Cheryl Kennard;['912'];Proche;
Rhonda;Sherri Sheperd;['411'];Proche;
Mary Ellen;Dedee Pfeiffer;['903'];Proche;1er janvier 1964
Leslie;Leesa Btyte;['104'];Proche;
Assistante un peu dingue de Chandler à Tulsa;Irene White;['909'];Proche;
Mrs McKenna;Janet Horbert;['902'];Proche;13 janvier 1956
Eldad;Josh Cox;['619'];Proche;
Mr Thompson;Steve Hytner;['624'];Proche;
Metteur en scène de Joey;Joe Colligan;['919'];Proche;
Paula;Jenifer Lewis;['103'];Proche;25 janvier 1957
Lydia;Louisa Abernathy;['618'];Proche;
Scott;Chip Chinery;['411'];Proche;
Fausse Monica;Claudia Shears;['121'];Proche;
Mel;David Moreland;['618'];Proche;
Phil;Steve Dark;['324'];Proche;
Stevens;Joe O’Connor;['324'];Proche;
Katherine;Adria Tennor;['820'];Proche;
Jeanette;Cynthia Newman;['922'];Proche;
Réceptionniste du centre de massage;Debra Azar;['921'];Proche;
Professeur Sherman;Dan Desmond;['922'];Proche;
Dr Biely;Cathy Lind Hayes;['1006'];Proche;
Dr Li;Ming Lo;['1006'];Proche;
Joan;Carla Touts;['1009'];Proche;19 août 2005
Gerson;Brian Buckner;['122'];Proche;
Responsable chez Empire Office Suplies;Joyce Guy;['713'];Proche;
Petrie;Darryl Sivad;['122'];Proche;
Casey;non créditée;['407'];Proche;
Pompier, brancardier de Chandler et vampire dans une vidéo X;Douglas Looper;['323', '508', '614'];Anodin;
Directrice de casting, gérante d’un magasin de robes de mariée et démonstratrice de parfums;Kim Harris;['604', '717', '922'];Anodin;
Directeur de casting, client de cabaret, serveur;Joe Everett Michaels;['604', '722', '923'];Anodin;
Client du Central Perk, serveur au restaurant et responsable de jeu;Matthew Mullany;['612', '801', '1011'];Anodin;
Officier d’état civil;Peter Eyre;['424', '501'];Anodin;
Ben et Mr Weinberg;Jackie Bright;['123', '224'];Anodin;
Isaac;Maury Ginsberg;['315', '316'];Anodin;
Voisin gourmand de Monica et conquête potentielle de Rachel;Ashley L. Clark;['709', '811'];Anodin;1er décembre 1988
Croupier du casino;Rick Pasqualone;['523', '601'];Anodin;
Professeur Ted Friesell;Jim Bentley;['411', '619'];Anodin;
Ami d’Elizabeth à l’Université;Hunter Cochran;['619', '624'];Anodin;
Hôtesse d’une chapelle;Nina Mann;['524', '601'];Anodin;
Randall;Thomas Lennon;['523', '524'];Anodin;9 août 1970
Réceptioniste de l’hôtel;non crédité;['802'];Anodin;31 mai 1950
Cathy;Lisa Roberts;['213'];Anodin;1er janvier 1965
Gail;Lou Thornton;['214'];Anodin;
Jonathan;Tim Bohn;['214'];Anodin;
Père Karabasos;Steve Suskind;['724'];Anodin;
Responsable de restaurant;Patrick Kerr;['214'];Anodin;
Gert;Rachel Snow;['801'];Anodin;
Carl;Louis Mandylor;['617'];Anodin;13 septembre 1966
Dennis Phillips;Jim Piddock;['801'];Anodin;
Colocataire potentielle;Brooke Boisse;['603'];Anodin;
Ashley;Kendall Herbert;['801'];Anodin;
Amanda;Claudia Stedelin;['723'];Anodin;
Réalisateur de films;Christopher Darga;['604'];Anodin;
Gentleman de l’avion;Hugh Laurie;['424'];Anodin;11 juin 1959
Margha;Susanna Voltaire;['309'];Anodin;
Invité plus agé et ivre;Heathcote Williams;['424'];Anodin;15 novembre 1941
Julie Horger;Rachael Harris;['823'];Anodin;12 janvier 1968
Grand mec;Lex Medlin;['610'];Anodin;
Lelani Mayolanofavich;Emily Osmont;['806'];Anodin;
Garde du plateau de tournage;Steven M. Porter;['213'];Anodin;
Employée de Virgin Atlantic;Jane Carr;['424'];Anodin;
Dr Harad;Sam Anderson;['503'];Anodin;
Chanteur du groupe Swing Kings;Dane Anthony;['801'];Anodin;
Femme des admissions;Alaina Reed Hall;['117'];Anodin;
Gouvernante de la famille Waltham;June Whitfield;['424'];Anodin;
Melinda;Steffani Brass;['801'];Anodin;
Organisatrice de mariages;Merrin Dungey;['622'];Anodin;
Mr Rastatter;Michael McKean;['208'];Anodin;
Serveur au restaurant;Daniel Caltagirone;['424'];Anodin;
Lydia;Leah Remini;['123'];Anodin;
Future maman, insulte son mari;Debi Mazar;['823'];Anodin;
Infirmière du cabinet Burke;Marcy Goldman;['408'];Anodin;
Marc Horger;Tim Dekay;['823'];Anodin;
Fan;Larry Joe Campbell;['614'];Anodin;
Dresseur de Marcel;Seth Isler;['213'];Anodin;
Roy;Carlo Imperato;['123'];Anodin;
Réceptionniste à l’hôpital;Jill Matson;['617'];Anodin;
Stanley;John Kassir;['522'];Anodin;
Danseuse très souple;Sybil Azur;['610'];Anodin;
Voisine du dessus de Monica;Amy Hill;['709'];Anodin;
Directrice de casting pour un film;Mo Gaffney;['719'];Anodin;
Directeur de casting pour un film;Daniel Hagan;['513'];Anodin;
Mr Bergen;John Bennett Perry;['418'];Anodin;
Sid Littman;Maurice Godin;['823'];Anodin;
Danseuse expérimentée sur une plate-forme;Sandra Plazinic;['610'];Anodin;
Femme du propriétaire du pressing;Susie Park;['622'];Anodin;
Guru Saj;Kevin McDonald;['323'];Anodin;
Sarah;Audrey Wasilewski;['923'];Anodin;
Ballerine;Rachel David;['806'];Anodin;
Gary;Jonathan Floyd;['709'];Anodin;
Cow-girl;Ivy Malone;['806'];Anodin;
Photographe du mariage;Allen Lulu;['801'];Anodin;
Employée de la clinique du sommeil;Thea Mann;['420'];Anodin;
Teinturier, propriétaire du pressing;Ilia Volok;['622'];Anodin;
Petit garçon malin;Daniel Smith;['806'];Anodin;
Robin;Catherine Bell;['206'];Anodin;
Docteur à l’hôpital;Ron Recasner;['617'];Anodin;
Mr Lipson;Fred Willard;['212'];Anodin;
Frankie;Buck Kartalian;['201'];Anodin;
Kory Weston;Ivana Milicevic;['917'];Anodin;
Réalisateur du film de Martin Scorsese;Scott Adsit;['719'];Anodin;
Conducteur de la voiture;non crédité;['802'];Anodin;
Photographe;Roger Eschbaker;['705'];Anodin;
Dr Oberman;T. J. Thyne;['503'];Anodin;
Spectateur d’une pièce de théâtre;non crédité;['322'];Anodin;
Bijoutier;Olivier Muirhead;['623'];Anodin;
Max;Wayne Pere;['110'];Anodin;
Infirmière de l’hôpital;Sarah Rush;['823'];Anodin;
Technicien de plateau de cinéma;Matt Bellner;['604'];Anodin;
Professeur de self-défense;Mongo Brownle;['617'];Anodin;
Étudiant à l’université;Michael Naughton;['604'];Anodin;
Dr Miller;Michael Monks;['522'];Anodin;
Acteur dans la publicité Monkeyshine;Sean Masterson;['212'];Anodin;
Spectatrice d’une pièce de théâtre;non créditée;['322'];Anodin;
Becky;Jennifer Sommerfield;['206'];Anodin;
Comédienne de théâtre;Alex Borstein;['920'];Anodin;
Futur papa, insulte sa femme;Jimmy Palumbo;['823'];Anodin;
Médecin hospitalier;Victor Raider-Wexler;['206'];Anodin;
Hilda;Jean St James;['704'];Anodin;
Vendeuse de robes de mariées;Anne Betancourt;['420'];Anodin;
Directeur de Casting;Jason Graae;['219'];Anodin;
Petit garçon fan de Phoebe;Tahl Mowry;['212'];Anodin;
Agent immobilier;Robin Krieger;['907'];Anodin;
Bobby Corso;Marc Rose;['810'];Anodin;
Lesbienne qui drague Phoebe;Lea DeLaria;['211'];Anodin;
Réceptionniste de l’hôpital;Henriette Mantel;['823'];Anodin;
Coursier qui apporte le script à Joey;Brian Posehn;['218'];Anodin;
Contrôleur de train;Vic Helford;['410'];Anodin;
Bijoutière;Janet S. Blake;['623'];Anodin;
Femme dans le train;Shannon Maureen Brown;['410'];Anodin;
Directeur de comédie musicale;Obba Babatunde;['312'];Anodin;
Amber;Vanessa Sandin;['218'];Anodin;
Mariée que Chandler embrasse;non créditée;['802'];Anodin;
Réceptionniste de l’hôpital;Jo Nell Kennedy;['823'];Anodin;
Dan;Patrick Fabian;['503'];Anodin;
La femme avec de faibles contractions;Karin Co;['823'];Anodin;
