Personnage;Relation;Personnage lié;Acteur lié;Episodes
Joey;Collègue;Alex;Ian Meltzer;['604', '621', '621', '911', '805', '920', '920', '911', '704', '920', '216', '911', '202', '212', '615', '704', '704', '615', '919']
Joey;Collègue;Wayne;Andrew Bilgore;['621', '621', '911', '805', '920', '920', '911', '704', '920', '216', '911', '202', '212', '615', '704', '704', '615', '919']
Joey;Collègue;Producteur de séries télévisées;Brad Koepenick;['621', '911', '805', '920', '920', '911', '704', '920', '216', '911', '202', '212', '615', '704', '704', '615', '919']
Joey;Collègue;Réalisateur de Days Of Our Lives;Evan Handler;['911', '805', '920', '920', '911', '704', '920', '216', '911', '202', '212', '615', '704', '704', '615', '919']
Joey;Collègue;Kash Ford;Johnny Messner;['805', '920', '920', '911', '704', '920', '216', '911', '202', '212', '615', '704', '704', '615', '919']
Joey;Collègue;Dirk;Ethan Erickson;['920', '920', '911', '704', '920', '216', '911', '202', '212', '615', '704', '704', '615', '919']
Joey;Collègue;Kyle Lowder;Kyle Lowder;['920', '911', '704', '920', '216', '911', '202', '212', '615', '704', '704', '615', '919']
Joey;Collègue;Acteur dans Days Of Our Lives;Paul Logan;['911', '704', '920', '216', '911', '202', '212', '615', '704', '704', '615', '919']
Joey;Collègue;Striker Ramorey;Eric Rutherford;['704', '920', '216', '911', '202', '212', '615', '704', '704', '615', '919']
Joey;Collègue;Matthew Ashford;Matthew Ashford;['920', '216', '911', '202', '212', '615', '704', '704', '615', '919']
Joey;Collègue;Bob;Warren Berliner;['216', '911', '202', '212', '615', '704', '704', '615', '919']
Joey;Collègue;Figurante dans Days of our lives;Heather Sims;['911', '202', '212', '615', '704', '704', '615', '919']
Joey;Collègue;El Hombre;Joel beeson;['202', '212', '615', '704', '704', '615', '919']
Joey;Collègue;Actrice dans Days of our Lives;Karma Kruschke;['212', '615', '704', '704', '615', '919']
Joey;Collègue;Hope Brady;Kristian Alfonso;['615', '704', '704', '615', '919']
Joey;Collègue;Infirmière, actrice de Days Of Our Lives;Cynthia Graham;['704', '704', '615', '919']
Joey;Collègue;Infirmière, actrice de Days Of Our Lives;Renee Louise Roger;['704', '615', '919']
Joey;Collègue;Dr Wesley;Kevin Spirtas;['615', '919']
Joey;Collègue;Chase Lassiter;Blake Reed;['919']
Rachel;Petit%20Ami;Tag Jones;Eddie Cahill;['704', '705', '708', '709', '712', '714', '802', '102', '119', '120', '224', '616', '413', '414', '416', '418', '420', '107', '111', '112', '201', '621', '622', '623', '911', '912', '913', '506', '507', '510', '210', '213', '322', '405', '207', '502', '124']
Rachel;Petit%20Ami;Barry Farber;Mitchell Whitfield;['102', '119', '120', '224', '616', '413', '414', '416', '418', '420', '107', '111', '112', '201', '621', '622', '623', '911', '912', '913', '506', '507', '510', '210', '213', '322', '405', '207', '502', '124']
Rachel;Petit%20Ami;Joshua Bergen;Tate Donovan;['413', '414', '416', '418', '420', '107', '111', '112', '201', '621', '622', '623', '911', '912', '913', '506', '507', '510', '210', '213', '322', '405', '207', '502', '124']
Rachel;Petit%20Ami;Paolo;Cosimo Fusco;['107', '111', '112', '201', '621', '622', '623', '911', '912', '913', '506', '507', '510', '210', '213', '322', '405', '207', '502', '124']
Rachel;Petit%20Ami;Paul Stevens;Bruce Willis;['621', '622', '623', '911', '912', '913', '506', '507', '510', '210', '213', '322', '405', '207', '502', '124']
Rachel;Petit%20Ami;Gavin Mitchell;Dermot Mulroney;['911', '912', '913', '506', '507', '510', '210', '213', '322', '405', '207', '502', '124']
Rachel;Petit%20Ami;Danny, le yeti;George Newbern;['506', '507', '510', '210', '213', '322', '405', '207', '502', '124']
Rachel;Petit%20Ami;Russ;Snaro;['210', '213', '322', '405', '207', '502', '124']
Rachel;Petit%20Ami;Jean-Claude Van Damme;Jean-Claude Van Damme;['213', '322', '405', '207', '502', '124']
Rachel;Petit%20Ami;Tommy;Ben Stiller;['322', '405', '207', '502', '124']
Rachel;Petit%20Ami;Josh;Brian Fish Smith;['405', '207', '502', '124']
Rachel;Petit%20Ami;Michael;Arye Gross;['207', '502', '124']
Rachel;Petit%20Ami;Dave;Zen Gesner;['502', '124']
Rachel;Petit%20Ami;Carl;Tommy Blaise;['124']
Rachel;Famille;Dr Leonard Green;Ron Leibman;['222', '307', '808', '1013', '211', '222', '820', '908', '1005', '613', '614']
Rachel;Famille;Sandra Green;Marlo Thomas;['211', '222', '820', '908', '1005', '613', '614']
Rachel;Famille;Amy Green;Christina  Applegate;['908', '1005', '613', '614']
Rachel;Famille;Jill Green;Reese Witherspoon;['613', '614']
Rachel;Ami;Kiki;Michele Maika;['104', '306', '120', '720', '224', '306', '104', '104', '820']
Rachel;Ami;Mindy Hunter;Jennifer Grey;['120', '720', '224', '306', '104', '104', '820']
Rachel;Ami;Melissa Warburton;Winona Ryder;['720', '224', '306', '104', '104', '820']
Rachel;Ami;Mindy Hunter-Farber;Marie Hupp;['224', '306', '104', '104', '820']
Rachel;Ami;Betsy;Marissa Ribisi;['306', '104', '104', '820']
Rachel;Ami;Joanne;Marianne Hagan;['104', '104', '820']
Rachel;Ami;Leslie;Leesa Btyte;['104', '820']
Rachel;Ami;Katherine;Adria Tennor;['820']
Rachel;Voisin;Pas de réponses pour cette recherche.;"Friends Génération 2 est une base de données de 5000 imagesavec
les biographies des 706 personnages secondaireset les résumés des 236 épisodes des
10 saisons.";[]
Rachel;Voisin;"Friends Génération 2 est une base de données de 5000 imagesavec
les biographies des 706 personnages secondaireset les résumés des 236 épisodes des
10 saisons.";©Fan Club Français de Friends&Friends Generation 2;[]
Rachel;Collègue;Mr Zelner;Steve Ireland;['517', '709', '817', '911', '1014', '1015', '311', '312', '314', '315', '319', '1014', '315', '320', '403', '409', '320', '403', '409', '109', '206', '518', '608', '310', '311', '413', '414', '705', '704', '312', '409', '1014', '608', '409', '518', '912', '624']
Rachel;Collègue;Mark;Steven Eckholdt;['311', '312', '314', '315', '319', '1014', '315', '320', '403', '409', '320', '403', '409', '109', '206', '518', '608', '310', '311', '413', '414', '705', '704', '312', '409', '1014', '608', '409', '518', '912', '624']
Rachel;Collègue;Sophie;Laura Dean;['315', '320', '403', '409', '320', '403', '409', '109', '206', '518', '608', '310', '311', '413', '414', '705', '704', '312', '409', '1014', '608', '409', '518', '912', '624']
Rachel;Collègue;Joanna;Alison LaPlaca;['320', '403', '409', '109', '206', '518', '608', '310', '311', '413', '414', '705', '704', '312', '409', '1014', '608', '409', '518', '912', '624']
Rachel;Collègue;Terry;Max Wright;['109', '206', '518', '608', '310', '311', '413', '414', '705', '704', '312', '409', '1014', '608', '409', '518', '912', '624']
Rachel;Collègue;Kim Clozzi;Joanna Gleason;['518', '608', '310', '311', '413', '414', '705', '704', '312', '409', '1014', '608', '409', '518', '912', '624']
Rachel;Collègue;Mr Kaplan Jr;Shelley Berman;['310', '311', '413', '414', '705', '704', '312', '409', '1014', '608', '409', '518', '912', '624']
Rachel;Collègue;Mr Waltham;Paxton Whitehead;['413', '414', '705', '704', '312', '409', '1014', '608', '409', '518', '912', '624']
Rachel;Collègue;Melissa;Caroline Keenan;['705', '704', '312', '409', '1014', '608', '409', '518', '912', '624']
Rachel;Collègue;Kathy;Cody Tucher;['704', '312', '409', '1014', '608', '409', '518', '912', '624']
Rachel;Collègue;Nancy;Hilary Matthews;['312', '409', '1014', '608', '409', '518', '912', '624']
Rachel;Collègue;Mme Lynch;Jennifer Rhodes;['409', '1014', '608', '409', '518', '912', '624']
Rachel;Collègue;Employé de Ralph Lauren;Alex Ball;['1014', '608', '409', '518', '912', '624']
Rachel;Collègue;Ralph Lauren;Ralph Lauren;['608', '409', '518', '912', '624']
Rachel;Collègue;Mr Posner;Richard Fancy;['409', '518', '912', '624']
Rachel;Collègue;Nancy;Megan Ward;['518', '912', '624']
Rachel;Collègue;Heather;Cheryl Kennard;['912', '624']
Rachel;Collègue;Mr Thompson;Steve Hytner;['624']
Ross;Petit%20Ami;Carol Willick;Jane Sibbett;['109', '112', '114', '116', '123', '202', '211', '220', '304', '317', '418', '518', '615', '616', '716', '414', '415', '416', '417', '418', '419', '421', '423', '424', '501', '504', '506', '520', '920', '921', '922', '923', '924', '1001', '1002', '1005', '1006', '801', '805', '806', '808', '811', '815', '817', '124', '201', '202', '204', '207', '208', '210', '618', '619', '621', '622', '624', '324', '325', '401', '315', '316', '102', '705', '821', '717', '405', '511', '406', '114', '410', '913', '707', '1011', '115', '608', '804', '1009']
Ross;Petit%20Ami;Emily Waltham;Helen Baxendale;['414', '415', '416', '417', '418', '419', '421', '423', '424', '501', '504', '506', '520', '920', '921', '922', '923', '924', '1001', '1002', '1005', '1006', '801', '805', '806', '808', '811', '815', '817', '124', '201', '202', '204', '207', '208', '210', '618', '619', '621', '622', '624', '324', '325', '401', '315', '316', '102', '705', '821', '717', '405', '511', '406', '114', '410', '913', '707', '1011', '115', '608', '804', '1009']
Ross;Petit%20Ami;Professeur Charlie Wheeler;Aisha Tyler;['920', '921', '922', '923', '924', '1001', '1002', '1005', '1006', '801', '805', '806', '808', '811', '815', '817', '124', '201', '202', '204', '207', '208', '210', '618', '619', '621', '622', '624', '324', '325', '401', '315', '316', '102', '705', '821', '717', '405', '511', '406', '114', '410', '913', '707', '1011', '115', '608', '804', '1009']
Ross;Petit%20Ami;Mona;Bonnie Somerville;['801', '805', '806', '808', '811', '815', '817', '124', '201', '202', '204', '207', '208', '210', '618', '619', '621', '622', '624', '324', '325', '401', '315', '316', '102', '705', '821', '717', '405', '511', '406', '114', '410', '913', '707', '1011', '115', '608', '804', '1009']
Ross;Petit%20Ami;Julie;Lauren Tom;['124', '201', '202', '204', '207', '208', '210', '618', '619', '621', '622', '624', '324', '325', '401', '315', '316', '102', '705', '821', '717', '405', '511', '406', '114', '410', '913', '707', '1011', '115', '608', '804', '1009']
Ross;Petit%20Ami;Elizabeth Stevens;Alexandra Holden;['618', '619', '621', '622', '624', '324', '325', '401', '315', '316', '102', '705', '821', '717', '405', '511', '406', '114', '410', '913', '707', '1011', '115', '608', '804', '1009']
Ross;Petit%20Ami;Bonnie;Christine Taylor;['324', '325', '401', '315', '316', '102', '705', '821', '717', '405', '511', '406', '114', '410', '913', '707', '1011', '115', '608', '804', '1009']
Ross;Petit%20Ami;Chloe;Angela Featherstone;['315', '316', '102', '705', '821', '717', '405', '511', '406', '114', '410', '913', '707', '1011', '115', '608', '804', '1009']
Ross;Petit%20Ami;Carol Willick;Anita Barone;['102', '705', '821', '717', '405', '511', '406', '114', '410', '913', '707', '1011', '115', '608', '804', '1009']
Ross;Petit%20Ami;Whitney;Julia Campbell;['705', '821', '717', '405', '511', '406', '114', '410', '913', '707', '1011', '115', '608', '804', '1009']
Ross;Petit%20Ami;Katie;Rena Sofer;['821', '717', '405', '511', '406', '114', '410', '913', '707', '1011', '115', '608', '804', '1009']
Ross;Petit%20Ami;Kristen Leigh;Gabrielle Union;['717', '405', '511', '406', '114', '410', '913', '707', '1011', '115', '608', '804', '1009']
Ross;Petit%20Ami;Amanda;Laura Stepp;['405', '511', '406', '114', '410', '913', '707', '1011', '115', '608', '804', '1009']
Ross;Petit%20Ami;Elizabeth Hornswaggle;Sara Rose Peterson;['511', '406', '114', '410', '913', '707', '1011', '115', '608', '804', '1009']
Ross;Petit%20Ami;Cheryl;Rebecca Romijn;['406', '114', '410', '913', '707', '1011', '115', '608', '804', '1009']
Ross;Petit%20Ami;Kristen;Heather Medway;['114', '410', '913', '707', '1011', '115', '608', '804', '1009']
Ross;Petit%20Ami;Femme de Poughkeepsie;Yasemin Baytok;['410', '913', '707', '1011', '115', '608', '804', '1009']
Ross;Petit%20Ami;Michelle;Jennifer Aspen;['913', '707', '1011', '115', '608', '804', '1009']
Ross;Petit%20Ami;Petite amie scientifique de Ross;Sarah O’Hare;['707', '1011', '115', '608', '804', '1009']
Ross;Petit%20Ami;Adrienne Turner;Kimberley Davies;['1011', '115', '608', '804', '1009']
Ross;Petit%20Ami;Celia;Melora Hardin;['115', '608', '804', '1009']
Ross;Petit%20Ami;Hillary;Missy Pyle;['608', '804', '1009']
Ross;Petit%20Ami;Kristen;Lisa Thornbill;['804', '1009']
Ross;Petit%20Ami;Joan;Carla Touts;['1009']
Ross;Famille;Emma Geller;non créditée;['824', '901', '902', '905', '906', '907', '911', '912', '914', '917', '923', '1001', '1004', '1005', '1006', '1007', '1008', '1009', '1010', '1013', '1015', '102', '108', '117', '214', '216', '301', '424', '501', '508', '609', '702', '703', '713', '714', '723', '724', '801', '818', '901', '1004', '102', '108', '214', '216', '301', '403', '424', '501', '508', '609', '702', '714', '723', '724', '801', '818', '823', '905', '1004', '123', '202', '206', '220', '304', '308', '405', '418', '511', '518', '615', '709', '710', '716', '810', '812', '719', '118', '304', '711', '108', '711', '818', '818']
Ross;Famille;Jack Geller;Elliott Gould;['102', '108', '117', '214', '216', '301', '424', '501', '508', '609', '702', '703', '713', '714', '723', '724', '801', '818', '901', '1004', '102', '108', '214', '216', '301', '403', '424', '501', '508', '609', '702', '714', '723', '724', '801', '818', '823', '905', '1004', '123', '202', '206', '220', '304', '308', '405', '418', '511', '518', '615', '709', '710', '716', '810', '812', '719', '118', '304', '711', '108', '711', '818', '818']
Ross;Famille;Judy Geller;Christina Pickles;['102', '108', '214', '216', '301', '403', '424', '501', '508', '609', '702', '714', '723', '724', '801', '818', '823', '905', '1004', '123', '202', '206', '220', '304', '308', '405', '418', '511', '518', '615', '709', '710', '716', '810', '812', '719', '118', '304', '711', '108', '711', '818', '818']
Ross;Famille;Ben Geller;Cole Mitchell Sprouse;['123', '202', '206', '220', '304', '308', '405', '418', '511', '518', '615', '709', '710', '716', '810', '812', '719', '118', '304', '711', '108', '711', '818', '818']
Ross;Famille;Cassie;Denise Richards;['719', '118', '304', '711', '108', '711', '818', '818']
Ross;Famille;Iris;Beverly Garland;['118', '304', '711', '108', '711', '818', '818']
Ross;Famille;Ross enfant;Edo Azram;['304', '711', '108', '711', '818', '818']
Ross;Famille;Frannie;Robyn Donny;['711', '108', '711', '818', '818']
Ross;Famille;Lilian;Elinor Donahue;['108', '711', '818', '818']
Ross;Famille;Tante Millie;Darlene Kardan;['711', '818', '818']
Ross;Famille;Oncle Dan;John C. Moskoff;['818', '818']
Ross;Famille;Tante Lisa;Ellen Gerstein;['818']
Ross;Ams;Pas de réponses pour cette recherche.;"Friends Génération 2 est une base de données de 5000 imagesavec
les biographies des 706 personnages secondaireset les résumés des 236 épisodes des
10 saisons.";[]
Ross;Ams;"Friends Génération 2 est une base de données de 5000 imagesavec
les biographies des 706 personnages secondaireset les résumés des 236 épisodes des
10 saisons.";©Fan Club Français de Friends&Friends Generation 2;[]
Ross;Voisin;Jen;Samantha Smith;['517', '517', '517', '517', '807', '515', '515', '515', '515']
Ross;Voisin;Petite fille, voisine de Ross;Devyn La Bella;['517', '517', '517', '807', '515', '515', '515', '515']
Ross;Voisin;Vieil homme, voisin de Ross;Ralph Manza;['517', '517', '807', '515', '515', '515', '515']
Ross;Voisin;Voisin de Ross à la recherche de Joey;Marc Goldsmith;['517', '807', '515', '515', '515', '515']
Ross;Voisin;Mrs Verhoeven;Dale Raoul;['807', '515', '515', '515', '515']
Ross;Voisin;Invité à la fête pour Howard;Stephon Fuller;['515', '515', '515', '515']
Ross;Voisin;Steve;Willie Garson;['515', '515', '515']
Ross;Voisin;Invitée à la fête pour Howard;Linde Gibb;['515', '515']
Ross;Voisin;Invité à la fête pour Howard;David Dalton;['515']
Ross;Collègue;Dr Ledbetter;Michael Ensign;['509', '514', '411', '619', '322', '1006', '604', '920', '102', '411', '618', '618', '411', '618', '922', '1006', '1006']
Ross;Collègue;Professeur Ted Friesell;Jim Bentley;['411', '619', '322', '1006', '604', '920', '102', '411', '618', '618', '411', '618', '922', '1006', '1006']
Ross;Collègue;Cailin;Laura Cayouette;['322', '1006', '604', '920', '102', '411', '618', '618', '411', '618', '922', '1006', '1006']
Ross;Collègue;Dr Benjamin Hobart;Greg Kinnear;['1006', '604', '920', '102', '411', '618', '618', '411', '618', '922', '1006', '1006']
Ross;Collègue;Kurt Rathman;Rick Fitts;['604', '920', '102', '411', '618', '618', '411', '618', '922', '1006', '1006']
Ross;Collègue;Professeur Spafford;Ken Lerner;['920', '102', '411', '618', '618', '411', '618', '922', '1006', '1006']
Ross;Collègue;Marsha;Merrill Merkoe;['102', '411', '618', '618', '411', '618', '922', '1006', '1006']
Ross;Collègue;Andrew;Jack Ong;['411', '618', '618', '411', '618', '922', '1006', '1006']
Ross;Collègue;Burt;Richard Roat;['618', '618', '411', '618', '922', '1006', '1006']
Ross;Collègue;Lydia;Louisa Abernathy;['618', '411', '618', '922', '1006', '1006']
Ross;Collègue;Scott;Chip Chinery;['411', '618', '922', '1006', '1006']
Ross;Collègue;Mel;David Moreland;['618', '922', '1006', '1006']
Ross;Collègue;Professeur Sherman;Dan Desmond;['922', '1006', '1006']
Ross;Collègue;Dr Biely;Cathy Lind Hayes;['1006', '1006']
Ross;Collègue;Dr Li;Ming Lo;['1006']
Monica;Petit%20Ami;Richard Burke;Tom Selleck;['215', '216', '218', '220', '223', '224', '313', '624', '625', '318', '319', '321', '322', '323', '324', '110', '210', '615', '616', '101', '214', '117', '408', '312', '711', '402', '103', '315', '122', '105']
Monica;Petit%20Ami;Pete Becker;Jon Favreau;['318', '319', '321', '322', '323', '324', '110', '210', '615', '616', '101', '214', '117', '408', '312', '711', '402', '103', '315', '122', '105']
Monica;Petit%20Ami;Bob le marrant;Vincent Ventresca;['110', '210', '615', '616', '101', '214', '117', '408', '312', '711', '402', '103', '315', '122', '105']
Monica;Petit%20Ami;Dr Roger;Pat Finn;['615', '616', '101', '214', '117', '408', '312', '711', '402', '103', '315', '122', '105']
Monica;Petit%20Ami;Paul, le sommelier;John Allen Nelson;['101', '214', '117', '408', '312', '711', '402', '103', '315', '122', '105']
Monica;Petit%20Ami;Roy Gublik;Michael Ray Bower;['214', '117', '408', '312', '711', '402', '103', '315', '122', '105']
Monica;Petit%20Ami;Dr Mitchell;George Clooney;['117', '408', '312', '711', '402', '103', '315', '122', '105']
Monica;Petit%20Ami;Tim Burke;Michael Vartan;['408', '312', '711', '402', '103', '315', '122', '105']
Monica;Petit%20Ami;Julio;Carlos Gomez;['312', '711', '402', '103', '315', '122', '105']
Monica;Petit%20Ami;Stuart;Joe Coyle;['711', '402', '103', '315', '122', '105']
Monica;Petit%20Ami;Chip Matthews;Dan Gauthier;['402', '103', '315', '122', '105']
Monica;Petit%20Ami;Alan;Goeffrey Lower;['103', '315', '122', '105']
Monica;Petit%20Ami;Misha;Stephen Kearny;['315', '122', '105']
Monica;Petit%20Ami;Ethan;Stan Kirsch;['122', '105']
Monica;Petit%20Ami;Bob;Jack Armstrong;['105']
Monica;Famille;Emma Geller;non créditée;['824', '901', '902', '905', '906', '907', '911', '912', '914', '917', '923', '1001', '1004', '1005', '1006', '1007', '1008', '1009', '1010', '1013', '1015', '102', '108', '117', '214', '216', '301', '424', '501', '508', '609', '702', '703', '713', '714', '723', '724', '801', '818', '901', '1004', '102', '108', '214', '216', '301', '403', '424', '501', '508', '609', '702', '714', '723', '724', '801', '818', '823', '905', '1004', '123', '202', '206', '220', '304', '308', '405', '418', '511', '518', '615', '709', '710', '716', '810', '812', '719', '118', '304', '711', '108', '711', '818', '818']
Monica;Famille;Jack Geller;Elliott Gould;['102', '108', '117', '214', '216', '301', '424', '501', '508', '609', '702', '703', '713', '714', '723', '724', '801', '818', '901', '1004', '102', '108', '214', '216', '301', '403', '424', '501', '508', '609', '702', '714', '723', '724', '801', '818', '823', '905', '1004', '123', '202', '206', '220', '304', '308', '405', '418', '511', '518', '615', '709', '710', '716', '810', '812', '719', '118', '304', '711', '108', '711', '818', '818']
Monica;Famille;Judy Geller;Christina Pickles;['102', '108', '214', '216', '301', '403', '424', '501', '508', '609', '702', '714', '723', '724', '801', '818', '823', '905', '1004', '123', '202', '206', '220', '304', '308', '405', '418', '511', '518', '615', '709', '710', '716', '810', '812', '719', '118', '304', '711', '108', '711', '818', '818']
Monica;Famille;Ben Geller;Cole Mitchell Sprouse;['123', '202', '206', '220', '304', '308', '405', '418', '511', '518', '615', '709', '710', '716', '810', '812', '719', '118', '304', '711', '108', '711', '818', '818']
Monica;Famille;Cassie;Denise Richards;['719', '118', '304', '711', '108', '711', '818', '818']
Monica;Famille;Iris;Beverly Garland;['118', '304', '711', '108', '711', '818', '818']
Monica;Famille;Ross enfant;Edo Azram;['304', '711', '108', '711', '818', '818']
Monica;Famille;Frannie;Robyn Donny;['711', '108', '711', '818', '818']
Monica;Famille;Lilian;Elinor Donahue;['108', '711', '818', '818']
Monica;Famille;Tante Millie;Darlene Kardan;['711', '818', '818']
Monica;Famille;Oncle Dan;John C. Moskoff;['818', '818']
Monica;Famille;Tante Lisa;Ellen Gerstein;['818']
Monica;Ami;Amanda;Jennifer Coolidge;['1003', '121']
Monica;Ami;Fausse Monica;Claudia Shears;['121']
Monica;Voisin;Mr Treeger;Michael G. Hagerty;['203', '209', '404', '417', '803', '709', '811', '709', '709']
Monica;Voisin;Voisin gourmand de Monica et conquête potentielle de Rachel;Ashley L. Clark;['709', '811', '709', '709']
Monica;Voisin;Voisine du dessus de Monica;Amy Hill;['709', '709']
Monica;Voisin;Gary;Jonathan Floyd;['709']
Monica;Collègue;Serveuse et figurante dans la sérieDays of our lives.;Alexandra Margulies;['624', '911', '410', '808', '101', '719', '410', '312', '409', '103']
Monica;Collègue;Stu;Fred Stoller;['410', '808', '101', '719', '410', '312', '409', '103']
Monica;Collègue;Franny;Clea Lewis;['101', '719', '410', '312', '409', '103']
Monica;Collègue;Comptable de Monica;Cindy Lu;['719', '410', '312', '409', '103']
Monica;Collègue;Employé de cuisine;Amy Smallman;['410', '312', '409', '103']
Monica;Collègue;Jeannine;Wendy Schall;['312', '409', '103']
Monica;Collègue;Allessandro;Taylor Negron;['409', '103']
Monica;Collègue;Paula;Jenifer Lewis;['103']
Chandler;Petit%20Ami;Janice Littman Guralnick;Maggie Wheeler;['105', '110', '114', '203', '224', '301', '303', '304', '306', '307', '308', '415', '512', '707', '823', '824', '921', '1015', '405', '406', '407', '408', '411', '413', '213', '106', '1011', '314', '116', '420', '706', '120', '205', '618']
